identifier,protein_families,pfam,pfam_clan,keyword,family,genus,gene_name,protein_name,uniprot_kb_id
C1IC49,three-finger toxin family|IC,PF21947 (Toxin_cobra-type)|71.9,CL0117 (uPAR_Ly6_toxin),KW-0008 (Acetylcholine receptor inhibiting toxin);KW-0903 (Direct protein sequencing);KW-1015 (Disulfide bond);KW-0872 (Ion channel impairing toxin);KW-0528 (Neurotoxin);KW-0629 (Postsynaptic neurotoxin);KW-0964 (Secreted);KW-0732 (Signal);KW-0800 (Toxin),Elapidae,Walterinnesia,,Three-finger toxin W-V,3NO25_WALAE
C3VVN5,conotoxin D superfamily|IC,,,KW-0008 (Acetylcholine receptor inhibiting toxin);KW-0903 (Direct protein sequencing);KW-1015 (Disulfide bond);KW-0301 (Gamma-carboxyglutamic acid);KW-0379 (Hydroxylation);KW-0872 (Ion channel impairing toxin);KW-0528 (Neurotoxin);KW-0629 (Postsynaptic neurotoxin);KW-0964 (Secreted);KW-0732 (Signal);KW-0800 (Toxin),Conidae,Conus,,Alpha-conotoxin Ms20.3,CDK3_CONMS
C3VVN6,conotoxin D superfamily|IC,,,KW-0008 (Acetylcholine receptor inhibiting toxin);KW-0903 (Direct protein sequencing);KW-1015 (Disulfide bond);KW-0301 (Gamma-carboxyglutamic acid);KW-0379 (Hydroxylation);KW-0872 (Ion channel impairing toxin);KW-0528 (Neurotoxin);KW-0629 (Postsynaptic neurotoxin);KW-0964 (Secreted);KW-0732 (Signal);KW-0800 (Toxin),Conidae,Conus,,Alpha-conotoxin Cp20.3,CDK3_CONCE
C4ULG3,,PF04488 (Gly_transf_sug)|29.9,CL0110 (GT-A),KW-0328 (Glycosyltransferase);KW-1032 (Host cell membrane);KW-1043 (Host membrane);KW-0472 (Membrane);KW-0479 (Metal-binding);KW-0964 (Secreted);KW-0800 (Toxin);KW-0808 (Transferase);KW-0843 (Virulence),Yersiniaceae,Yersinia,afp18,Toxin Afp18,AFP18_YERRA
C7DT09,MCD family|SAM,,,KW-0027 (Amidation);KW-0929 (Antimicrobial);KW-0204 (Cytolysis);KW-0295 (Fungicide);KW-0391 (Immunity);KW-0399 (Innate immunity);KW-0472 (Membrane);KW-0677 (Repeat);KW-0964 (Secreted);KW-0732 (Signal);KW-1052 (Target cell membrane);KW-1053 (Target membrane);KW-0800 (Toxin),Vespidae,Orancistrocerus,,Venom peptide 3,VP3_ORADR
D1MEI6,MCD family|IC,,,KW-0027 (Amidation);KW-0044 (Antibiotic);KW-0929 (Antimicrobial);KW-0204 (Cytolysis);KW-0295 (Fungicide);KW-0391 (Immunity);KW-0399 (Innate immunity);KW-0472 (Membrane);KW-0677 (Repeat);KW-0964 (Secreted);KW-0732 (Signal);KW-1052 (Target cell membrane);KW-1053 (Target membrane);KW-0800 (Toxin);KW-0812 (Transmembrane),Vespidae,Eumenes,,Eumenitin VP1,EUME1_EUMPO
D1MGU0,snaclec family|IC,PF00059 (Lectin_C)|55.3,CL0056 (C_Lectin),KW-0903 (Direct protein sequencing);KW-1015 (Disulfide bond);KW-1199 (Hemostasis impairing toxin);KW-1201 (Platelet aggregation inhibiting toxin);KW-0964 (Secreted);KW-0732 (Signal);KW-0800 (Toxin),Viperidae,Protobothrops,,Snaclec jerdonibitin subunit alpha,SLA_PROJR
D1MGU1,snaclec family|IC,PF00059 (Lectin_C)|55.8,CL0056 (C_Lectin),KW-0903 (Direct protein sequencing);KW-1015 (Disulfide bond);KW-1199 (Hemostasis impairing toxin);KW-1201 (Platelet aggregation inhibiting toxin);KW-0964 (Secreted);KW-0732 (Signal);KW-0800 (Toxin),Viperidae,Protobothrops,,Snaclec jerdonibitin subunit beta,SLB_PROJR
D2Y210,neurotoxin 12 (Hwtx-2) family|IC,PF08089 (Toxin_20)|61.0,CL0083 (Omega_toxin),KW-0903 (Direct protein sequencing);KW-1015 (Disulfide bond);KW-0528 (Neurotoxin);KW-0629 (Postsynaptic neurotoxin);KW-0964 (Secreted);KW-0732 (Signal);KW-0800 (Toxin),Theraphosidae,Cyriopagopus,,U4-theraphotoxin-Hhn1a,H2A17_CYRHA
D2Y2L2,neurotoxin 12 (Hwtx-2) family|IC,PF08089 (Toxin_20)|61.0,CL0083 (Omega_toxin),KW-0903 (Direct protein sequencing);KW-1015 (Disulfide bond);KW-0528 (Neurotoxin);KW-0629 (Postsynaptic neurotoxin);KW-0964 (Secreted);KW-0732 (Signal);KW-0800 (Toxin),Theraphosidae,Cyriopagopus,,U4-theraphotoxin-Hhn1a,H2A24_CYRHA
F5C3U4,conotoxin A superfamily|IC,PF07365 (Toxin_8)|61.9,,KW-0008 (Acetylcholine receptor inhibiting toxin);KW-0027 (Amidation);KW-0165 (Cleavage on pair of basic residues);KW-1015 (Disulfide bond);KW-0379 (Hydroxylation);KW-0528 (Neurotoxin);KW-0629 (Postsynaptic neurotoxin);KW-0964 (Secreted);KW-0732 (Signal);KW-0800 (Toxin),Conidae,Conus,,Alpha-conotoxin Mr1.7a,CA18_CONMR
F8RKW5,NGF-beta family|IC,PF00243 (NGF)|152.5,CL0079 (Cystine-knot),KW-0165 (Cleavage on pair of basic residues);KW-1015 (Disulfide bond);KW-0325 (Glycoprotein);KW-0339 (Growth factor);KW-0446 (Lipid-binding);KW-0481 (Metalloenzyme inhibitor);KW-0483 (Metalloprotease inhibitor);KW-0646 (Protease inhibitor);KW-0964 (Secreted);KW-0732 (Signal);KW-0800 (Toxin),Elapidae,Drysdalia,,Venom nerve growth factor,NGFV_DRYCN
J7GY56,conotoxin O1 superfamily|IC,PF02950 (Conotoxin)|41.4,CL0083 (Omega_toxin),KW-0008 (Acetylcholine receptor inhibiting toxin);KW-1015 (Disulfide bond);KW-0528 (Neurotoxin);KW-0582 (Pharmaceutical);KW-0629 (Postsynaptic neurotoxin);KW-0964 (Secreted);KW-0732 (Signal);KW-0800 (Toxin),Conidae,Conus,,Alpha-conotoxin GeXIVA,CO1EA_CONGR
K7Z9Q9,,PF01400 (Astacin)|180.3,CL0126 (Peptidase_MA),KW-1015 (Disulfide bond);KW-0378 (Hydrolase);KW-0479 (Metal-binding);KW-0482 (Metalloprotease);KW-0166 (Nematocyst);KW-0645 (Protease);KW-0964 (Secreted);KW-0732 (Signal);KW-0800 (Toxin);KW-0862 (Zinc),Edwardsiidae,Nematostella,,Nematocyst expressed protein 6,VMP_NEMVE
O13069,peptidase S1 family|SAM,PF00089 (Trypsin)|187.5,CL0124 (Peptidase_PA),KW-1204 (Blood coagulation cascade activating toxin);KW-0903 (Direct protein sequencing);KW-1015 (Disulfide bond);KW-0325 (Glycoprotein);KW-1199 (Hemostasis impairing toxin);KW-0378 (Hydrolase);KW-0382 (Hypotensive agent);KW-0645 (Protease);KW-0964 (Secreted);KW-0720 (Serine protease);KW-0732 (Signal);KW-0800 (Toxin);KW-0865 (Zymogen),Viperidae,Bothrops,,Thrombin-like enzyme KN-BJ 2,VSP2_BOTJA
O46028,short scorpion toxin superfamily|IC,,,KW-0002 (3D-structure);KW-0027 (Amidation);KW-1221 (Calcium-activated potassium channel impairing toxin);KW-0903 (Direct protein sequencing);KW-1015 (Disulfide bond);KW-0872 (Ion channel impairing toxin);KW-0528 (Neurotoxin);KW-0632 (Potassium channel impairing toxin);KW-0964 (Secreted);KW-0732 (Signal);KW-0800 (Toxin);KW-1220 (Voltage-gated potassium channel impairing toxin),Buthidae,Centruroides,,Potassium channel toxin alpha-KTx 10.1,KA101_CENNO
O46168,helical arthropod-neuropeptide-derived (HAND) family|IC,,,KW-0027 (Amidation);KW-0903 (Direct protein sequencing);KW-1015 (Disulfide bond);KW-0964 (Secreted);KW-0732 (Signal);KW-0800 (Toxin),Agelenidae,Eratigena,,U1-agatoxin-Ta1c,TXI3_ERAAG
O56850,rotavirus NSP4 family|SAM,PF01452 (Rota_NSP4)|329.7,,KW-1072 (Activation of host autophagy by virus);KW-0106 (Calcium);KW-0260 (Enterotoxin);KW-0325 (Glycoprotein);KW-1038 (Host endoplasmic reticulum);KW-1043 (Host membrane);KW-0945 (Host-virus interaction);KW-0407 (Ion channel);KW-0406 (Ion transport);KW-0472 (Membrane);KW-0479 (Metal-binding);KW-0964 (Secreted);KW-0735 (Signal-anchor);KW-0800 (Toxin);KW-0812 (Transmembrane);KW-1133 (Transmembrane helix);KW-0813 (Transport);KW-1182 (Viral ion channel);KW-0843 (Virulence),Sedoreoviridae,Rotavirus,,Non-structural glycoprotein 4,NSP4_ROTH3
O76199,neurotoxin 03 (Tx2) family|IC,PF17492 (D_CNTX)|91.6,CL0079 (Cystine-knot),KW-0903 (Direct protein sequencing);KW-1015 (Disulfide bond);KW-0872 (Ion channel impairing toxin);KW-0960 (Knottin);KW-0528 (Neurotoxin);KW-0964 (Secreted);KW-0732 (Signal);KW-0800 (Toxin);KW-0738 (Voltage-gated sodium channel impairing toxin),Ctenidae,Phoneutria,,Delta-ctenitoxin-Pn2c,TX36B_PHONI
P00595,phospholipase A2 family|IC,PF00068 (Phospholip_A2_1)|122.5,CL0629 (PLA2),KW-0106 (Calcium);KW-0903 (Direct protein sequencing);KW-1015 (Disulfide bond);KW-0378 (Hydrolase);KW-0442 (Lipid degradation);KW-0443 (Lipid metabolism);KW-0479 (Metal-binding);KW-0964 (Secreted);KW-0800 (Toxin),Elapidae,Hemachatus,,Basic phospholipase A2 DE-1,PA2B1_HEMHA
P00604,phospholipase A2 family|IC,PF00068 (Phospholip_A2_1)|117.4,CL0629 (PLA2),KW-1203 (Blood coagulation cascade inhibiting toxin);KW-0106 (Calcium);KW-0204 (Cytolysis);KW-0903 (Direct protein sequencing);KW-1015 (Disulfide bond);KW-0354 (Hemolysis);KW-1199 (Hemostasis impairing toxin);KW-0378 (Hydrolase);KW-0442 (Lipid degradation);KW-0443 (Lipid metabolism);KW-0479 (Metal-binding);KW-0959 (Myotoxin);KW-0528 (Neurotoxin);KW-0964 (Secreted);KW-0800 (Toxin),Elapidae,Naja,,Basic phospholipase A2 CM-III,PA2B3_NAJMO
P00983,venom Kunitz-type family|IC,PF00014 (Kunitz_BPTI)|62.7,CL0894 (BPTI),KW-0903 (Direct protein sequencing);KW-1015 (Disulfide bond);KW-1213 (G-protein coupled receptor impairing toxin);KW-0964 (Secreted);KW-0800 (Toxin),Elapidae,Dendroaspis,,Mambaquaretin-7,MAMB7_DENPO
P01442,three-finger toxin family|IC,PF21947 (Toxin_cobra-type)|43.5,CL0117 (uPAR_Ly6_toxin),KW-0002 (3D-structure);KW-0123 (Cardiotoxin);KW-0204 (Cytolysis);KW-0903 (Direct protein sequencing);KW-1015 (Disulfide bond);KW-0354 (Hemolysis);KW-0472 (Membrane);KW-0964 (Secreted);KW-0732 (Signal);KW-1052 (Target cell membrane);KW-1053 (Target membrane);KW-0800 (Toxin),Elapidae,Naja,,Cytotoxin 2,3SA2_NAJAT
P01452,three-finger toxin family|IC,PF21947 (Toxin_cobra-type)|49.1,CL0117 (uPAR_Ly6_toxin),KW-0002 (3D-structure);KW-0123 (Cardiotoxin);KW-0204 (Cytolysis);KW-0903 (Direct protein sequencing);KW-1015 (Disulfide bond);KW-0472 (Membrane);KW-0964 (Secreted);KW-1052 (Target cell membrane);KW-1053 (Target membrane);KW-0800 (Toxin),Elapidae,Naja,,Cytotoxin 4,3SA4_NAJMO
P01476,crotamine-myotoxin family|IC,PF00819 (Myotoxins)|100.6,CL0075 (Defensin),KW-0929 (Antimicrobial);KW-0903 (Direct protein sequencing);KW-1015 (Disulfide bond);KW-0872 (Ion channel impairing toxin);KW-0959 (Myotoxin);KW-0528 (Neurotoxin);KW-0632 (Potassium channel impairing toxin);KW-0964 (Secreted);KW-0800 (Toxin);KW-1220 (Voltage-gated potassium channel impairing toxin),Viperidae,Crotalus,,Myotoxin-A,MYX1_CROVV
P01478,neurotoxin 06 (delta-actx) family|IC,PF05353 (Atracotoxin)|92.3,CL0083 (Omega_toxin),KW-0002 (3D-structure);KW-0903 (Direct protein sequencing);KW-1015 (Disulfide bond);KW-0872 (Ion channel impairing toxin);KW-0960 (Knottin);KW-0528 (Neurotoxin);KW-0964 (Secreted);KW-0800 (Toxin);KW-0738 (Voltage-gated sodium channel impairing toxin),Hexathelidae,Atrax,,Delta-hexatoxin-Ar1a,TXDT1_ATRRO
P01483,long (4 C-C) scorpion toxin superfamily|IC,PF00537 (Toxin_3)|89.8,CL0054 (Knottin_1),KW-0027 (Amidation);KW-0903 (Direct protein sequencing);KW-1015 (Disulfide bond);KW-0872 (Ion channel impairing toxin);KW-0528 (Neurotoxin);KW-0964 (Secreted);KW-0800 (Toxin);KW-0738 (Voltage-gated sodium channel impairing toxin),Buthidae,Buthus,,Neurotoxin Bot2,SCX2_BUTOC
P02852,secapin family|IC,PF17521 (Secapin)|121.8,,KW-0044 (Antibiotic);KW-0929 (Antimicrobial);KW-0903 (Direct protein sequencing);KW-1015 (Disulfide bond);KW-0295 (Fungicide);KW-1199 (Hemostasis impairing toxin);KW-0391 (Immunity);KW-0399 (Innate immunity);KW-0646 (Protease inhibitor);KW-1185 (Reference proteome);KW-0964 (Secreted);KW-0722 (Serine protease inhibitor);KW-0732 (Signal);KW-0800 (Toxin),Apidae,Apis,,Secapin,SECP_APIME
P03535,rotavirus NSP4 family|SAM,PF01452 (Rota_NSP4)|319.2,,KW-1072 (Activation of host autophagy by virus);KW-0106 (Calcium);KW-0260 (Enterotoxin);KW-0325 (Glycoprotein);KW-1038 (Host endoplasmic reticulum);KW-1043 (Host membrane);KW-0945 (Host-virus interaction);KW-0407 (Ion channel);KW-0406 (Ion transport);KW-0472 (Membrane);KW-0479 (Metal-binding);KW-0964 (Secreted);KW-0735 (Signal-anchor);KW-0800 (Toxin);KW-0812 (Transmembrane);KW-1133 (Transmembrane helix);KW-0813 (Transport);KW-1182 (Viral ion channel);KW-0843 (Virulence),Sedoreoviridae,Rotavirus,,Non-structural glycoprotein 4,NSP4_ROTHW
P07525,three-finger toxin family|IC,PF21947 (Toxin_cobra-type)|45.0,CL0117 (uPAR_Ly6_toxin),KW-0002 (3D-structure);KW-0123 (Cardiotoxin);KW-0204 (Cytolysis);KW-0903 (Direct protein sequencing);KW-1015 (Disulfide bond);KW-0354 (Hemolysis);KW-0872 (Ion channel impairing toxin);KW-0472 (Membrane);KW-0964 (Secreted);KW-1052 (Target cell membrane);KW-1053 (Target membrane);KW-0800 (Toxin),Elapidae,Naja,,Cytotoxin 5,3SAT_NAJAT
P08026,ribosome-inactivating protein family|IC,PF00161 (RIP)|130.2,,KW-1015 (Disulfide bond);KW-0378 (Hydrolase);KW-1254 (Modulation of host virulence by virus);KW-0652 (Protein synthesis inhibitor);KW-0964 (Secreted);KW-0732 (Signal);KW-0800 (Toxin);KW-1255 (Viral exotoxin);KW-0843 (Virulence),,Lambdavirus,stxA,Shiga-like toxin 1 subunit A,STXA_BPH19
P08815,short scorpion toxin superfamily|IC,PF00451 (Toxin_2)|51.5,CL0054 (Knottin_1),KW-0002 (3D-structure);KW-0027 (Amidation);KW-1221 (Calcium-activated potassium channel impairing toxin);KW-0903 (Direct protein sequencing);KW-1015 (Disulfide bond);KW-0872 (Ion channel impairing toxin);KW-0528 (Neurotoxin);KW-0632 (Potassium channel impairing toxin);KW-0964 (Secreted);KW-0800 (Toxin);KW-1220 (Voltage-gated potassium channel impairing toxin),Buthidae,Centruroides,,Potassium channel toxin alpha-KTx 2.1,KAX21_CENNO
P09989,ribosome-inactivating protein family|IC,PF00161 (RIP)|136.5,,KW-0002 (3D-structure);KW-0930 (Antiviral protein);KW-0903 (Direct protein sequencing);KW-0378 (Hydrolase);KW-0611 (Plant defense);KW-0652 (Protein synthesis inhibitor);KW-0732 (Signal);KW-0800 (Toxin),Cucurbitaceae,Trichosanthes,,Ribosome-inactivating protein alpha-trichosanthin,RIPT_TRIKI
P0C174,short scorpion toxin superfamily|IC,,,KW-0002 (3D-structure);KW-0903 (Direct protein sequencing);KW-1015 (Disulfide bond);KW-0872 (Ion channel impairing toxin);KW-0960 (Knottin);KW-0632 (Potassium channel impairing toxin);KW-0964 (Secreted);KW-0732 (Signal);KW-0800 (Toxin);KW-1220 (Voltage-gated potassium channel impairing toxin),Buthidae,Tityus,,Potassium channel toxin epsilon-KTx 1.1,KEX11_TITSE
P0C175,short scorpion toxin superfamily|IC,,,KW-0027 (Amidation);KW-0903 (Direct protein sequencing);KW-1015 (Disulfide bond);KW-0872 (Ion channel impairing toxin);KW-0960 (Knottin);KW-0632 (Potassium channel impairing toxin);KW-0964 (Secreted);KW-0732 (Signal);KW-0800 (Toxin);KW-1220 (Voltage-gated potassium channel impairing toxin),Buthidae,Tityus,,Potassium channel toxin epsilon-KTx 1.2,KEX12_TITSE
P0C1N8,conotoxin M superfamily|IC,PF02950 (Conotoxin)|51.2,CL0083 (Omega_toxin),KW-0027 (Amidation);KW-0165 (Cleavage on pair of basic residues);KW-0903 (Direct protein sequencing);KW-1015 (Disulfide bond);KW-0528 (Neurotoxin);KW-0558 (Oxidation);KW-0964 (Secreted);KW-0732 (Signal);KW-0800 (Toxin),Conidae,Conus,,Conotoxin tx3b,M3B_CONTE
P0C1X7,long (4 C-C) scorpion toxin superfamily|IC,PF00537 (Toxin_3)|65.3,CL0054 (Knottin_1),KW-0027 (Amidation);KW-0044 (Antibiotic);KW-0929 (Antimicrobial);KW-0903 (Direct protein sequencing);KW-1015 (Disulfide bond);KW-0872 (Ion channel impairing toxin);KW-0528 (Neurotoxin);KW-0964 (Secreted);KW-0732 (Signal);KW-0800 (Toxin);KW-0738 (Voltage-gated sodium channel impairing toxin),Buthidae,Tityus,,Ardiscretin,SCNA4_TITDI
P0C2K2,arthropod phospholipase D family|IC,,,KW-0204 (Cytolysis);KW-1061 (Dermonecrotic toxin);KW-0903 (Direct protein sequencing);KW-1015 (Disulfide bond);KW-0354 (Hemolysis);KW-0442 (Lipid degradation);KW-0443 (Lipid metabolism);KW-0456 (Lyase);KW-0460 (Magnesium);KW-0479 (Metal-binding);KW-0964 (Secreted);KW-0800 (Toxin),Sicariidae,Loxosceles,,Dermonecrotic toxin LgSicTox-alphaI-1,A1X1_LOXGA
P0C578,peptidase S1 family|SAM,,,KW-1204 (Blood coagulation cascade activating toxin);KW-0903 (Direct protein sequencing);KW-0325 (Glycoprotein);KW-1199 (Hemostasis impairing toxin);KW-0378 (Hydrolase);KW-0645 (Protease);KW-0964 (Secreted);KW-0720 (Serine protease);KW-0800 (Toxin),Viperidae,Ovophis,,Thrombin-like enzyme okinaxobin-2,VSP2_OVOOK
P0C5I4,long (4 C-C) scorpion toxin superfamily|IC,PF00537 (Toxin_3)|61.0,CL0054 (Knottin_1),KW-0027 (Amidation);KW-0903 (Direct protein sequencing);KW-1015 (Disulfide bond);KW-0872 (Ion channel impairing toxin);KW-0528 (Neurotoxin);KW-0964 (Secreted);KW-0732 (Signal);KW-0800 (Toxin);KW-0738 (Voltage-gated sodium channel impairing toxin),Buthidae,Leiurus,,Beta-insect depressant toxin Lqh-dprIT3b,SIX3B_LEIHE
P0C6S0,venom metalloproteinase (M12B) family|IC,PF01421 (Reprolysin)|25.0,CL0126 (Peptidase_MA),KW-0053 (Apoptosis);KW-0903 (Direct protein sequencing);KW-1206 (Fibrinogenolytic toxin);KW-1205 (Fibrinolytic toxin);KW-1199 (Hemostasis impairing toxin);KW-0378 (Hydrolase);KW-0479 (Metal-binding);KW-0482 (Metalloprotease);KW-0645 (Protease);KW-0964 (Secreted);KW-0800 (Toxin);KW-0862 (Zinc),Viperidae,Bothrops,,Snake venom metalloproteinase BnP1,VM1B1_BOTPA
P0C837,O2 superfamily|IC,PF02950 (Conotoxin)|43.1,CL0083 (Omega_toxin),KW-0027 (Amidation);KW-0208 (D-amino acid);KW-0903 (Direct protein sequencing);KW-1015 (Disulfide bond);KW-0379 (Hydroxylation);KW-0872 (Ion channel impairing toxin);KW-0528 (Neurotoxin);KW-0964 (Secreted);KW-0732 (Signal);KW-0800 (Toxin),Conidae,Conus,,Contryphan-S,COW_CONST
P0C8E1,conotoxin B superfamily|IC,,,KW-0106 (Calcium);KW-0903 (Direct protein sequencing);KW-0301 (Gamma-carboxyglutamic acid);KW-0379 (Hydroxylation);KW-0872 (Ion channel impairing toxin);KW-1028 (Ionotropic glutamate receptor inhibitor);KW-0460 (Magnesium);KW-0479 (Metal-binding);KW-0528 (Neurotoxin);KW-0629 (Postsynaptic neurotoxin);KW-0964 (Secreted);KW-0800 (Toxin),Conidae,Conus,,Conantokin-Pr2,CKP2_CONPI
P0C8R2,conotoxin A superfamily|IC,PF07365 (Toxin_8)|48.2,,KW-0008 (Acetylcholine receptor inhibiting toxin);KW-1015 (Disulfide bond);KW-0379 (Hydroxylation);KW-0872 (Ion channel impairing toxin);KW-0528 (Neurotoxin);KW-0629 (Postsynaptic neurotoxin);KW-0964 (Secreted);KW-0800 (Toxin),Conidae,Conus,,Alpha-conotoxin ArIA,CA1A_CONAE
P0C908,short scorpion toxin superfamily|IC,PF00451 (Toxin_2)|49.2,CL0054 (Knottin_1),KW-0002 (3D-structure);KW-0903 (Direct protein sequencing);KW-1015 (Disulfide bond);KW-0872 (Ion channel impairing toxin);KW-0528 (Neurotoxin);KW-0632 (Potassium channel impairing toxin);KW-0964 (Secreted);KW-0732 (Signal);KW-0800 (Toxin);KW-1220 (Voltage-gated potassium channel impairing toxin),Buthidae,Buthus,,Potassium channel toxin alpha-KTx 3.10,KAX3A_BUTIS
P0CAS4,phospholipase A2 family|IC,PF00068 (Phospholip_A2_1)|115.5,CL0629 (PLA2),KW-0106 (Calcium);KW-0903 (Direct protein sequencing);KW-1015 (Disulfide bond);KW-0378 (Hydrolase);KW-0442 (Lipid degradation);KW-0443 (Lipid metabolism);KW-0479 (Metal-binding);KW-0959 (Myotoxin);KW-0528 (Neurotoxin);KW-0964 (Secreted);KW-0800 (Toxin),Viperidae,Crotalus,,Basic phospholipase A2 Cdr-13,PA2BD_CRODR
P0CAS6,phospholipase A2 family|IC,PF00068 (Phospholip_A2_1)|115.6,CL0629 (PLA2),KW-0106 (Calcium);KW-0903 (Direct protein sequencing);KW-1015 (Disulfide bond);KW-0378 (Hydrolase);KW-0442 (Lipid degradation);KW-0443 (Lipid metabolism);KW-0479 (Metal-binding);KW-0528 (Neurotoxin);KW-0964 (Secreted);KW-0800 (Toxin),Viperidae,Crotalus,,Basic phospholipase A2 F16,PA2BF_CRODU
P0CC12,short scorpion toxin superfamily|IC,PF05453 (Toxin_6)|51.4,CL0054 (Knottin_1),KW-0903 (Direct protein sequencing);KW-1015 (Disulfide bond);KW-0872 (Ion channel impairing toxin);KW-0632 (Potassium channel impairing toxin);KW-0964 (Secreted);KW-0732 (Signal);KW-0800 (Toxin);KW-1220 (Voltage-gated potassium channel impairing toxin),Buthidae,Odontobuthus,,Potassium channel toxin alpha-KTx 8.5,KAX85_ODODO
P0CC13,conotoxin O1 superfamily|IC,,,KW-0903 (Direct protein sequencing);KW-1015 (Disulfide bond);KW-0379 (Hydroxylation);KW-0872 (Ion channel impairing toxin);KW-0960 (Knottin);KW-0528 (Neurotoxin);KW-0638 (Presynaptic neurotoxin);KW-0964 (Secreted);KW-0800 (Toxin);KW-0738 (Voltage-gated sodium channel impairing toxin),Conidae,Conus,,Delta-conotoxin-like CnVIB,O16B_CONCN
P0CE73,conotoxin A superfamily|IC,PF07365 (Toxin_8)|93.3,,KW-0008 (Acetylcholine receptor inhibiting toxin);KW-0027 (Amidation);KW-0903 (Direct protein sequencing);KW-1015 (Disulfide bond);KW-0872 (Ion channel impairing toxin);KW-0528 (Neurotoxin);KW-0629 (Postsynaptic neurotoxin);KW-0964 (Secreted);KW-0732 (Signal);KW-0800 (Toxin),Conidae,Conus,,Alpha-conotoxin BnIA,CA11_CONBN
P0CG46,conotoxin B superfamily|IC,PF10550 (Toxin_36)|26.9,,KW-0106 (Calcium);KW-0301 (Gamma-carboxyglutamic acid);KW-0872 (Ion channel impairing toxin);KW-1028 (Ionotropic glutamate receptor inhibitor);KW-0460 (Magnesium);KW-0479 (Metal-binding);KW-0528 (Neurotoxin);KW-0629 (Postsynaptic neurotoxin);KW-0964 (Secreted);KW-0732 (Signal);KW-0800 (Toxin),Conidae,Conus,,Conantokin-Br,CKBR_CONSL
P0CH46,sea anemone sodium channel inhibitory toxin family|IC,PF00706 (Toxin_4)|77.9,CL0075 (Defensin),KW-0025 (Alternative splicing);KW-0165 (Cleavage on pair of basic residues);KW-1015 (Disulfide bond);KW-0872 (Ion channel impairing toxin);KW-0528 (Neurotoxin);KW-1185 (Reference proteome);KW-0964 (Secreted);KW-0732 (Signal);KW-0800 (Toxin);KW-0738 (Voltage-gated sodium channel impairing toxin),Edwardsiidae,Nematostella,,N.vectensis toxin 1 5,NA239_NEMVE
P0DD39,peptidase C10 family|IC,PF01640 (Peptidase_C10)|190.3;PF13734 (Inhibitor_I69)|53.5,CL0125 (Peptidase_CA),KW-0068 (Autocatalytic cleavage);KW-1035 (Host cytoplasm);KW-0378 (Hydrolase);KW-0488 (Methylation);KW-0645 (Protease);KW-0964 (Secreted);KW-0732 (Signal);KW-0788 (Thiol protease);KW-0800 (Toxin);KW-0843 (Virulence);KW-0865 (Zymogen),Streptococcaceae,Streptococcus,speB,Streptopain,SPEB_STRPQ
P0DJ50,venom Kunitz-type family|IC,PF00014 (Kunitz_BPTI)|68.2,CL0894 (BPTI),KW-1015 (Disulfide bond);KW-1199 (Hemostasis impairing toxin);KW-0872 (Ion channel impairing toxin);KW-0632 (Potassium channel impairing toxin);KW-0646 (Protease inhibitor);KW-0964 (Secreted);KW-0722 (Serine protease inhibitor);KW-0732 (Signal);KW-0800 (Toxin);KW-1220 (Voltage-gated potassium channel impairing toxin),Buthidae,Olivierus,,Kunitz-type serine protease inhibitor BmKTT-2,VKT31_OLIMR
P0DJ94,glucagon family|IC,PF00123 (Hormone_2)|39.2,,KW-0903 (Direct protein sequencing);KW-1213 (G-protein coupled receptor impairing toxin);KW-0325 (Glycoprotein);KW-0382 (Hypotensive agent);KW-0964 (Secreted);KW-0800 (Toxin),Helodermatidae,Heloderma,,Exendin-1,EXE1_HELHO
P0DJF1,peptidase S1 family|SAM,,,KW-1204 (Blood coagulation cascade activating toxin);KW-0903 (Direct protein sequencing);KW-1015 (Disulfide bond);KW-0325 (Glycoprotein);KW-1199 (Hemostasis impairing toxin);KW-0378 (Hydrolase);KW-0645 (Protease);KW-0964 (Secreted);KW-0720 (Serine protease);KW-0730 (Sialic acid);KW-0800 (Toxin),Viperidae,Bothrops,,Thrombin-like enzyme BpSP-1,VSP1_BOTPA
P0DJF4,peptidase S1 family|IC,,,KW-1204 (Blood coagulation cascade activating toxin);KW-0903 (Direct protein sequencing);KW-1015 (Disulfide bond);KW-0325 (Glycoprotein);KW-1199 (Hemostasis impairing toxin);KW-0378 (Hydrolase);KW-0645 (Protease);KW-0964 (Secreted);KW-0720 (Serine protease);KW-0800 (Toxin),Viperidae,Trimeresurus,,Thrombin-like enzyme albolabrase,VSPAL_TRIAB
P0DJF7,peptidase S1 family|SAM,,,KW-1204 (Blood coagulation cascade activating toxin);KW-0903 (Direct protein sequencing);KW-1015 (Disulfide bond);KW-0325 (Glycoprotein);KW-1199 (Hemostasis impairing toxin);KW-0378 (Hydrolase);KW-0645 (Protease);KW-0964 (Secreted);KW-0720 (Serine protease);KW-0800 (Toxin),Viperidae,Trimeresurus,,Thrombin-like enzyme purpurase,VSPP_TRIPP
