identifier,protein_families,pfam,pfam_clan,keyword,family,gene_name,protein_name,uniprot_kb_id
P24941,protein kinase superfamily|IC,PF00069 (Pkinase)|260.9,CL0016 (PKinase),KW-0002 (3D-structure);KW-0007 (Acetylation);KW-0025 (Alternative splicing);KW-0067 (ATP-binding);KW-0131 (Cell cycle);KW-0132 (Cell division);KW-0963 (Cytoplasm);KW-0206 (Cytoskeleton);KW-0227 (DNA damage);KW-0234 (DNA repair);KW-0967 (Endosome);KW-0418 (Kinase);KW-0460 (Magnesium);KW-0469 (Meiosis);KW-0479 (Metal-binding);KW-0498 (Mitosis);KW-0547 (Nucleotide-binding);KW-0539 (Nucleus);KW-0597 (Phosphoprotein);KW-1267 (Proteomics identification);KW-1185 (Reference proteome);KW-0702 (S-nitrosylation);KW-0723 (Serine/threonine-protein kinase);KW-0808 (Transferase),Hominidae,CDK2,Cyclin-dependent kinase 2,CDK2_HUMAN
P25054,adenomatous polyposis coli (APC) family|IC,PF00514 (Arm)|97.9;PF05923 (APC_r)|213.2;PF05924 (SAMP)|100.6;PF05937 (EB1_binding)|319.2;PF05956 (APC_basic)|410.1;PF05972 (APC_15aa)|77.9;PF11414 (Suppressor_APC)|52.7;PF16629 (Arm_APC_u3)|559.3;PF16630 (APC_u5)|178.9;PF16633 (APC_u9)|120.5;PF16634 (APC_u13)|90.4;PF16635 (APC_u14)|140.4;PF16636 (APC_u15)|129.9;PF16689 (APC_N_CC)|102.0;PF18797 (APC_rep)|139.0,CL0020 (TPR),KW-0002 (3D-structure);KW-0007 (Acetylation);KW-0877 (Alternative promoter usage);KW-0025 (Alternative splicing);KW-0965 (Cell junction);KW-1003 (Cell membrane);KW-0966 (Cell projection);KW-0175 (Coiled coil);KW-0963 (Cytoplasm);KW-0206 (Cytoskeleton);KW-0225 (Disease variant);KW-0472 (Membrane);KW-0493 (Microtubule);KW-0597 (Phosphoprotein);KW-1267 (Proteomics identification);KW-1185 (Reference proteome);KW-0677 (Repeat);KW-0043 (Tumor suppressor);KW-0832 (Ubl conjugation);KW-0879 (Wnt signaling pathway),Hominidae,APC,Adenomatous polyposis coli protein,APC_HUMAN
P25325,,PF00581 (Rhodanese)|84.8,CL0031 (Phosphatase),KW-0002 (3D-structure);KW-0007 (Acetylation);KW-0025 (Alternative splicing);KW-0963 (Cytoplasm);KW-0903 (Direct protein sequencing);KW-1015 (Disulfide bond);KW-0496 (Mitochondrion);KW-0597 (Phosphoprotein);KW-1267 (Proteomics identification);KW-0676 (Redox-active center);KW-1185 (Reference proteome);KW-0677 (Repeat);KW-0770 (Synapse);KW-0771 (Synaptosome);KW-0808 (Transferase),Hominidae,MPST,3-mercaptopyruvate sulfurtransferase,THTM_HUMAN
P25705,ATPase alpha/beta chains family|IC,PF00006 (ATP-synt_ab)|275.7;PF00306 (ATP-synt_ab_C)|165.0;PF02874 (ATP-synt_ab_N)|66.2,CL0023 (P-loop_NTPase);CL0866 (ALR_C-like),KW-0002 (3D-structure);KW-0007 (Acetylation);KW-0025 (Alternative splicing);KW-0066 (ATP synthesis);KW-0067 (ATP-binding);KW-1003 (Cell membrane);KW-0139 (CF(1));KW-0903 (Direct protein sequencing);KW-0225 (Disease variant);KW-0325 (Glycoprotein);KW-0375 (Hydrogen ion transport);KW-0406 (Ion transport);KW-0472 (Membrane);KW-0488 (Methylation);KW-0496 (Mitochondrion);KW-0999 (Mitochondrion inner membrane);KW-0547 (Nucleotide-binding);KW-0597 (Phosphoprotein);KW-1274 (Primary mitochondrial disease);KW-1267 (Proteomics identification);KW-1185 (Reference proteome);KW-0809 (Transit peptide);KW-1278 (Translocase);KW-0813 (Transport),Hominidae,ATP5F1A,"ATP synthase F(1) complex subunit alpha, mitochondrial",ATPA_HUMAN
P25713,metallothionein superfamily|IC,PF00131 (Metallothio)|92.2,CL0461 (Metallothionein),KW-0002 (3D-structure);KW-0007 (Acetylation);KW-0186 (Copper);KW-0903 (Direct protein sequencing);KW-0479 (Metal-binding);KW-0480 (Metal-thiolate cluster);KW-0597 (Phosphoprotein);KW-1267 (Proteomics identification);KW-1185 (Reference proteome);KW-0862 (Zinc),Hominidae,MT3,Metallothionein-3,MT3_HUMAN
P25774,peptidase C1 family|SAM,PF00112 (Peptidase_C1)|281.9;PF08246 (Inhibitor_I29)|66.6,CL0125 (Peptidase_CA),KW-0002 (3D-structure);KW-0025 (Alternative splicing);KW-0968 (Cytoplasmic vesicle);KW-0903 (Direct protein sequencing);KW-1015 (Disulfide bond);KW-0325 (Glycoprotein);KW-0378 (Hydrolase);KW-0458 (Lysosome);KW-0645 (Protease);KW-1267 (Proteomics identification);KW-1185 (Reference proteome);KW-0964 (Secreted);KW-0732 (Signal);KW-0788 (Thiol protease);KW-0865 (Zymogen),Hominidae,CTSS,Cathepsin S,CATS_HUMAN
P26010,integrin beta chain family|IC,PF00362 (Integrin_beta)|364.6;PF07974 (EGF_2)|25.4;PF08725 (Integrin_b_cyt)|67.0;PF17205 (PSI_integrin)|52.9,CL0001 (EGF);CL0128 (vWA-like);CL0630 (PSI),KW-0002 (3D-structure);KW-0025 (Alternative splicing);KW-0106 (Calcium);KW-0130 (Cell adhesion);KW-1003 (Cell membrane);KW-0903 (Direct protein sequencing);KW-1015 (Disulfide bond);KW-0245 (EGF-like domain);KW-0325 (Glycoprotein);KW-1183 (Host cell receptor for virus entry);KW-0401 (Integrin);KW-0460 (Magnesium);KW-0472 (Membrane);KW-0479 (Metal-binding);KW-0597 (Phosphoprotein);KW-1267 (Proteomics identification);KW-0675 (Receptor);KW-1185 (Reference proteome);KW-0677 (Repeat);KW-0732 (Signal);KW-0812 (Transmembrane);KW-1133 (Transmembrane helix),Hominidae,ITGB7,Integrin beta-7,ITB7_HUMAN
P26045,protein-tyrosine phosphatase family|IC,PF00102 (Y_phosphatase)|278.1;PF00373 (FERM_M)|104.7;PF00595 (PDZ)|69.0;PF09379 (FERM_N)|80.0;PF09380 (FERM_C)|97.6,CL0031 (Phosphatase);CL0072 (Ubiquitin);CL0266 (PH);CL0466 (PDZ-like);CL0632 (FERM_M),KW-0002 (3D-structure);KW-0025 (Alternative splicing);KW-1003 (Cell membrane);KW-0963 (Cytoplasm);KW-0206 (Cytoskeleton);KW-0378 (Hydrolase);KW-0472 (Membrane);KW-0597 (Phosphoprotein);KW-0904 (Protein phosphatase);KW-1267 (Proteomics identification);KW-1185 (Reference proteome),Hominidae,PTPN3,Tyrosine-protein phosphatase non-receptor type 3,PTN3_HUMAN
P26196,DEAD box helicase family|IC,PF00270 (DEAD)|150.2;PF00271 (Helicase_C)|110.1,CL0023 (P-loop_NTPase),KW-0002 (3D-structure);KW-0067 (ATP-binding);KW-0160 (Chromosomal rearrangement);KW-0963 (Cytoplasm);KW-0225 (Disease variant);KW-0347 (Helicase);KW-0378 (Hydrolase);KW-0991 (Intellectual disability);KW-0547 (Nucleotide-binding);KW-0539 (Nucleus);KW-0597 (Phosphoprotein);KW-1267 (Proteomics identification);KW-0656 (Proto-oncogene);KW-1185 (Reference proteome);KW-0694 (RNA-binding);KW-0832 (Ubl conjugation),Hominidae,DDX6,Probable ATP-dependent RNA helicase DDX6,DDX6_HUMAN
P26232,vinculin/alpha-catenin family|IC,PF01044 (Vinculin)|1261.7,CL0705 (VBS-like),KW-0002 (3D-structure);KW-0025 (Alternative splicing);KW-0130 (Cell adhesion);KW-0965 (Cell junction);KW-1003 (Cell membrane);KW-0966 (Cell projection);KW-0963 (Cytoplasm);KW-0206 (Cytoskeleton);KW-0217 (Developmental protein);KW-0221 (Differentiation);KW-0225 (Disease variant);KW-0451 (Lissencephaly);KW-0472 (Membrane);KW-0539 (Nucleus);KW-0597 (Phosphoprotein);KW-1267 (Proteomics identification);KW-1185 (Reference proteome),Hominidae,CTNNA2,Catenin alpha-2,CTNA2_HUMAN
P26358,class I-like SAM-binding methyltransferase superfamily|SAM,PF00145 (DNA_methylase)|164.8;PF01426 (BAH)|206.5;PF02008 (zf-CXXC)|56.7;PF06464 (DMAP_binding)|79.3;PF12047 (DNMT1-RFD)|166.9,CL0010 (SH3);CL0063 (NADP_Rossmann);CL0660 (SHOCT),KW-0002 (3D-structure);KW-0007 (Acetylation);KW-0010 (Activator);KW-0025 (Alternative splicing);KW-0156 (Chromatin regulator);KW-0158 (Chromosome);KW-0209 (Deafness);KW-0225 (Disease variant);KW-0238 (DNA-binding);KW-1017 (Isopeptide bond);KW-0479 (Metal-binding);KW-0488 (Methylation);KW-0489 (Methyltransferase);KW-0622 (Neuropathy);KW-0539 (Nucleus);KW-0597 (Phosphoprotein);KW-1267 (Proteomics identification);KW-1185 (Reference proteome);KW-0677 (Repeat);KW-0678 (Repressor);KW-0949 (S-adenosyl-L-methionine);KW-0804 (Transcription);KW-0805 (Transcription regulation);KW-0808 (Transferase);KW-0832 (Ubl conjugation);KW-0862 (Zinc);KW-0863 (Zinc-finger),Hominidae,DNMT1,DNA (cytosine-5)-methyltransferase 1,DNMT1_HUMAN
P26367,paired homeobox family|IC,PF00046 (Homeodomain)|81.4;PF00292 (PAX)|243.7,CL0123 (HTH),KW-0002 (3D-structure);KW-0025 (Alternative splicing);KW-0217 (Developmental protein);KW-0221 (Differentiation);KW-0225 (Disease variant);KW-0238 (DNA-binding);KW-0371 (Homeobox);KW-0539 (Nucleus);KW-0563 (Paired box);KW-1059 (Peters anomaly);KW-1267 (Proteomics identification);KW-1185 (Reference proteome);KW-0678 (Repressor);KW-0804 (Transcription);KW-0805 (Transcription regulation);KW-0832 (Ubl conjugation),Hominidae,PAX6,Paired box protein Pax-6,PAX6_HUMAN
P26373,eukaryotic ribosomal protein eL13 family|IC,PF01294 (Ribosomal_L13e)|275.3,,KW-0002 (3D-structure);KW-0007 (Acetylation);KW-0025 (Alternative splicing);KW-0963 (Cytoplasm);KW-0225 (Disease variant);KW-0242 (Dwarfism);KW-1017 (Isopeptide bond);KW-0597 (Phosphoprotein);KW-1267 (Proteomics identification);KW-1185 (Reference proteome);KW-0687 (Ribonucleoprotein);KW-0689 (Ribosomal protein);KW-0832 (Ubl conjugation),Hominidae,RPL13,Large ribosomal subunit protein eL13,RL13_HUMAN
P26436,,PF00021 (UPAR_LY6)|52.7,CL0117 (uPAR_Ly6_toxin),KW-0025 (Alternative splicing);KW-0968 (Cytoplasmic vesicle);KW-0903 (Direct protein sequencing);KW-0325 (Glycoprotein);KW-1267 (Proteomics identification);KW-1185 (Reference proteome);KW-0677 (Repeat);KW-0732 (Signal),Hominidae,ACRV1,Acrosomal protein SP-10,ASPX_HUMAN
P26641,,PF00043 (GST_C)|79.2;PF00647 (EF1G)|159.9;PF02798 (GST_N)|72.3,CL0172 (Thioredoxin);CL0497 (GST_C),KW-0002 (3D-structure);KW-0007 (Acetylation);KW-0025 (Alternative splicing);KW-0903 (Direct protein sequencing);KW-0251 (Elongation factor);KW-1017 (Isopeptide bond);KW-0648 (Protein biosynthesis);KW-1267 (Proteomics identification);KW-1185 (Reference proteome);KW-0832 (Ubl conjugation),Hominidae,EEF1G,Elongation factor 1-gamma,EF1G_HUMAN
P26717,,PF00059 (Lectin_C)|42.0,CL0056 (C_Lectin),KW-0002 (3D-structure);KW-1064 (Adaptive immunity);KW-1003 (Cell membrane);KW-1015 (Disulfide bond);KW-0325 (Glycoprotein);KW-0391 (Immunity);KW-0399 (Innate immunity);KW-0430 (Lectin);KW-0472 (Membrane);KW-1267 (Proteomics identification);KW-0675 (Receptor);KW-1185 (Reference proteome);KW-0735 (Signal-anchor);KW-0812 (Transmembrane);KW-1133 (Transmembrane helix),Hominidae,KLRC2,NKG2-C type II integral membrane protein,NKG2C_HUMAN
P26998,beta/gamma-crystallin family|IC,PF00030 (Crystall)|191.7,CL0333 (gCrystallin),KW-0002 (3D-structure);KW-0007 (Acetylation);KW-0898 (Cataract);KW-0225 (Disease variant);KW-0273 (Eye lens protein);KW-1267 (Proteomics identification);KW-1185 (Reference proteome);KW-0677 (Repeat),Hominidae,CRYBB3,Beta-crystallin B3,CRBB3_HUMAN
P27216,annexin family|IC,PF00191 (Annexin)|331.3,,KW-0002 (3D-structure);KW-0025 (Alternative splicing);KW-0041 (Annexin);KW-0106 (Calcium);KW-0111 (Calcium/phospholipid-binding);KW-1003 (Cell membrane);KW-0968 (Cytoplasmic vesicle);KW-0449 (Lipoprotein);KW-0472 (Membrane);KW-0519 (Myristate);KW-1267 (Proteomics identification);KW-1185 (Reference proteome);KW-0677 (Repeat),Hominidae,ANXA13,Annexin A13,ANX13_HUMAN
P27707,DCK/DGK family|IC,PF01712 (dNK)|252.9,CL0023 (P-loop_NTPase),KW-0002 (3D-structure);KW-0067 (ATP-binding);KW-0903 (Direct protein sequencing);KW-0418 (Kinase);KW-0547 (Nucleotide-binding);KW-0539 (Nucleus);KW-0597 (Phosphoprotein);KW-1267 (Proteomics identification);KW-1185 (Reference proteome);KW-0808 (Transferase),Hominidae,DCK,Deoxycytidine kinase,DCK_HUMAN
P27816,,PF00418 (Tubulin-binding)|187.6,,KW-0007 (Acetylation);KW-0025 (Alternative splicing);KW-0963 (Cytoplasm);KW-0206 (Cytoskeleton);KW-0903 (Direct protein sequencing);KW-1017 (Isopeptide bond);KW-0493 (Microtubule);KW-0597 (Phosphoprotein);KW-1267 (Proteomics identification);KW-1185 (Reference proteome);KW-0677 (Repeat);KW-0832 (Ubl conjugation),Hominidae,MAP4,Microtubule-associated protein 4,MAP4_HUMAN
P27918,,PF00090 (TSP_1)|195.4;PF18487 (TSR)|83.5;PF22195 (TSP1_CFP_C)|176.9,CL0692 (TSP1),KW-0002 (3D-structure);KW-0179 (Complement alternate pathway);KW-0225 (Disease variant);KW-1015 (Disulfide bond);KW-0325 (Glycoprotein);KW-0391 (Immunity);KW-0399 (Innate immunity);KW-1267 (Proteomics identification);KW-1185 (Reference proteome);KW-0677 (Repeat);KW-0964 (Secreted);KW-0732 (Signal),Hominidae,CFP,Properdin,PROP_HUMAN
P27987,inositol phosphokinase (IPK) family|IC,PF03770 (IPK)|154.8,CL0016 (PKinase),KW-0025 (Alternative splicing);KW-0067 (ATP-binding);KW-0112 (Calmodulin-binding);KW-0963 (Cytoplasm);KW-0206 (Cytoskeleton);KW-0256 (Endoplasmic reticulum);KW-0418 (Kinase);KW-0547 (Nucleotide-binding);KW-0597 (Phosphoprotein);KW-1267 (Proteomics identification);KW-1185 (Reference proteome);KW-0808 (Transferase),Hominidae,ITPKB,Inositol-trisphosphate 3-kinase B,IP3KB_HUMAN
P28065,peptidase T1B family|SAM,PF00227 (Proteasome)|152.4,CL0052 (NTN),KW-0002 (3D-structure);KW-0007 (Acetylation);KW-0025 (Alternative splicing);KW-0963 (Cytoplasm);KW-0225 (Disease variant);KW-0945 (Host-virus interaction);KW-0378 (Hydrolase);KW-0391 (Immunity);KW-0539 (Nucleus);KW-0645 (Protease);KW-0647 (Proteasome);KW-1267 (Proteomics identification);KW-1185 (Reference proteome);KW-0888 (Threonine protease);KW-0865 (Zymogen),Hominidae,PSMB9,Proteasome subunit beta type-9,PSB9_HUMAN
P28068,MHC class II family|IC,PF00969 (MHC_II_beta)|74.6;PF07654 (C1-set)|81.2,CL0159 (E-set);CL0343 (MHC),KW-0002 (3D-structure);KW-1064 (Adaptive immunity);KW-1015 (Disulfide bond);KW-0967 (Endosome);KW-0325 (Glycoprotein);KW-0391 (Immunity);KW-0393 (Immunoglobulin domain);KW-0458 (Lysosome);KW-0472 (Membrane);KW-0491 (MHC II);KW-1267 (Proteomics identification);KW-1185 (Reference proteome);KW-0732 (Signal);KW-0812 (Transmembrane);KW-1133 (Transmembrane helix),Hominidae,HLA-DMB,"HLA class II histocompatibility antigen, DM beta chain",DMB_HUMAN
P28072,peptidase T1B family|SAM,PF00227 (Proteasome)|167.3,CL0052 (NTN),KW-0002 (3D-structure);KW-0007 (Acetylation);KW-0963 (Cytoplasm);KW-0903 (Direct protein sequencing);KW-0945 (Host-virus interaction);KW-0378 (Hydrolase);KW-0539 (Nucleus);KW-0597 (Phosphoprotein);KW-0645 (Protease);KW-0647 (Proteasome);KW-1267 (Proteomics identification);KW-1185 (Reference proteome);KW-0888 (Threonine protease);KW-0865 (Zymogen),Hominidae,PSMB6,Proteasome subunit beta type-6,PSB6_HUMAN
P28074,peptidase T1B family|SAM,PF00227 (Proteasome)|176.9,CL0052 (NTN),KW-0002 (3D-structure);KW-0025 (Alternative splicing);KW-0963 (Cytoplasm);KW-0903 (Direct protein sequencing);KW-0945 (Host-virus interaction);KW-0378 (Hydrolase);KW-0539 (Nucleus);KW-0645 (Protease);KW-0647 (Proteasome);KW-1267 (Proteomics identification);KW-1185 (Reference proteome);KW-0888 (Threonine protease);KW-0865 (Zymogen),Hominidae,PSMB5,Proteasome subunit beta type-5,PSB5_HUMAN
P28289,tropomodulin family|IC,PF03250 (Tropomodulin)|217.0;PF27087 (LRR_TMOD-LMOD)|230.4,CL0022 (LRR),KW-0002 (3D-structure);KW-0009 (Actin-binding);KW-0025 (Alternative splicing);KW-0963 (Cytoplasm);KW-0206 (Cytoskeleton);KW-0903 (Direct protein sequencing);KW-1267 (Proteomics identification);KW-1185 (Reference proteome),Hominidae,TMOD1,Tropomodulin-1,TMOD1_HUMAN
P28331,complex I 75 kDa subunit family|IC,PF00384 (Molybdopterin)|377.4;PF09326 (NADH_dhqG_C)|59.6;PF10588 (NADH-G_4Fe-4S_3)|64.5;PF13510 (Fer2_4)|68.5;PF22117 (Fer4_Nqo3)|115.7;PF22151 (Fer4_NDSU1)|113.4,CL0344 (4Fe-4S);CL0486 (Fer2),KW-0001 (2Fe-2S);KW-0002 (3D-structure);KW-0004 (4Fe-4S);KW-0007 (Acetylation);KW-0025 (Alternative splicing);KW-0903 (Direct protein sequencing);KW-0225 (Disease variant);KW-0249 (Electron transport);KW-0408 (Iron);KW-0411 (Iron-sulfur);KW-0472 (Membrane);KW-0479 (Metal-binding);KW-0496 (Mitochondrion);KW-0999 (Mitochondrion inner membrane);KW-0520 (NAD);KW-0560 (Oxidoreductase);KW-1274 (Primary mitochondrial disease);KW-1267 (Proteomics identification);KW-1185 (Reference proteome);KW-0679 (Respiratory chain);KW-0809 (Transit peptide);KW-1278 (Translocase);KW-0813 (Transport);KW-0830 (Ubiquinone),Hominidae,NDUFS1,"NADH-ubiquinone oxidoreductase 75 kDa subunit, mitochondrial",NDUS1_HUMAN
P28332,zinc-containing alcohol dehydrogenase family|IC,PF00107 (ADH_zinc_N)|86.4;PF08240 (ADH_N)|71.9,CL0063 (NADP_Rossmann);CL0296 (GroES),KW-0025 (Alternative splicing);KW-0963 (Cytoplasm);KW-0479 (Metal-binding);KW-0520 (NAD);KW-0560 (Oxidoreductase);KW-0597 (Phosphoprotein);KW-1267 (Proteomics identification);KW-1185 (Reference proteome);KW-0862 (Zinc),Hominidae,ADH6,Alcohol dehydrogenase 6,ADH6_HUMAN
P28336,G-protein coupled receptor 1 family|SAM,PF00001 (7tm_1)|199.0,CL0192 (GPCR_A),KW-0002 (3D-structure);KW-1003 (Cell membrane);KW-1015 (Disulfide bond);KW-0297 (G-protein coupled receptor);KW-0325 (Glycoprotein);KW-0449 (Lipoprotein);KW-0472 (Membrane);KW-0564 (Palmitate);KW-0597 (Phosphoprotein);KW-0675 (Receptor);KW-1185 (Reference proteome);KW-0807 (Transducer);KW-0812 (Transmembrane);KW-1133 (Transmembrane helix),Hominidae,NMBR,Neuromedin-B receptor,NMBR_HUMAN
P28358,Abd-B homeobox family|IC,PF00046 (Homeodomain)|74.6,CL0123 (HTH),KW-0217 (Developmental protein);KW-0225 (Disease variant);KW-0238 (DNA-binding);KW-0371 (Homeobox);KW-0539 (Nucleus);KW-0597 (Phosphoprotein);KW-1267 (Proteomics identification);KW-1185 (Reference proteome);KW-0804 (Transcription);KW-0805 (Transcription regulation),Hominidae,HOXD10,Homeobox protein Hox-D10,HXD10_HUMAN
P28702,nuclear hormone receptor family|IC,PF00104 (Hormone_recep)|132.1;PF00105 (zf-C4)|109.6,CL0839 (Tbcl_zf),KW-0002 (3D-structure);KW-0025 (Alternative splicing);KW-0963 (Cytoplasm);KW-0238 (DNA-binding);KW-0479 (Metal-binding);KW-0488 (Methylation);KW-0539 (Nucleus);KW-1267 (Proteomics identification);KW-0675 (Receptor);KW-1185 (Reference proteome);KW-0804 (Transcription);KW-0805 (Transcription regulation);KW-0862 (Zinc);KW-0863 (Zinc-finger),Hominidae,RXRB,Retinoic acid receptor RXR-beta,RXRB_HUMAN
P28906,CD34 family|IC,PF06365 (CD34_antigen)|269.1,,KW-0025 (Alternative splicing);KW-0130 (Cell adhesion);KW-0903 (Direct protein sequencing);KW-0325 (Glycoprotein);KW-0472 (Membrane);KW-0597 (Phosphoprotein);KW-1267 (Proteomics identification);KW-1185 (Reference proteome);KW-0732 (Signal);KW-0812 (Transmembrane);KW-1133 (Transmembrane helix),Hominidae,CD34,Hematopoietic progenitor cell antigen CD34,CD34_HUMAN
P29144,peptidase S8 family|IC,PF00082 (Peptidase_S8)|186.4;PF12580 (TPPII)|243.4;PF12583 (TPPII_C)|50.4;PF21223 (TPPII_Ig-like-1)|137.5;PF21316 (TPPII_GBD)|105.2,CL0020 (TPR);CL0159 (E-set);CL0202 (GBD),KW-0007 (Acetylation);KW-0031 (Aminopeptidase);KW-0963 (Cytoplasm);KW-0903 (Direct protein sequencing);KW-0225 (Disease variant);KW-0378 (Hydrolase);KW-0539 (Nucleus);KW-0597 (Phosphoprotein);KW-0645 (Protease);KW-1267 (Proteomics identification);KW-1185 (Reference proteome);KW-0720 (Serine protease),Hominidae,TPP2,Tripeptidyl-peptidase 2,TPP2_HUMAN
P29274,G-protein coupled receptor 1 family|SAM,PF00001 (7tm_1)|196.9,CL0192 (GPCR_A),KW-0002 (3D-structure);KW-1003 (Cell membrane);KW-1015 (Disulfide bond);KW-0297 (G-protein coupled receptor);KW-0325 (Glycoprotein);KW-0472 (Membrane);KW-1267 (Proteomics identification);KW-0675 (Receptor);KW-1185 (Reference proteome);KW-0807 (Transducer);KW-0812 (Transmembrane);KW-1133 (Transmembrane helix);KW-0832 (Ubl conjugation),Hominidae,ADORA2A,Adenosine receptor A2a,AA2AR_HUMAN
P29317,protein kinase superfamily|SAM,PF00041 (fn3)|98.9;PF00536 (SAM_1)|77.8;PF01404 (Ephrin_lbd)|225.1;PF07714 (PK_Tyr_Ser-Thr)|338.3;PF14575 (EphA2_TM)|81.0;PF25599 (Ephrin_CRD)|82.5,CL0001 (EGF);CL0003 (SAM);CL0016 (PKinase);CL0159 (E-set);CL0202 (GBD),KW-0002 (3D-structure);KW-0025 (Alternative splicing);KW-0037 (Angiogenesis);KW-0053 (Apoptosis);KW-0067 (ATP-binding);KW-0898 (Cataract);KW-0130 (Cell adhesion);KW-0965 (Cell junction);KW-1003 (Cell membrane);KW-0966 (Cell projection);KW-0221 (Differentiation);KW-0225 (Disease variant);KW-1015 (Disulfide bond);KW-0325 (Glycoprotein);KW-1183 (Host cell receptor for virus entry);KW-0945 (Host-virus interaction);KW-0418 (Kinase);KW-0472 (Membrane);KW-0547 (Nucleotide-binding);KW-0597 (Phosphoprotein);KW-1267 (Proteomics identification);KW-0675 (Receptor);KW-1185 (Reference proteome);KW-0677 (Repeat);KW-0732 (Signal);KW-0808 (Transferase);KW-0812 (Transmembrane);KW-1133 (Transmembrane helix);KW-0829 (Tyrosine-protein kinase);KW-0832 (Ubl conjugation),Hominidae,EPHA2,Ephrin type-A receptor 2,EPHA2_HUMAN
P29320,protein kinase superfamily|SAM,PF00041 (fn3)|98.9;PF01404 (Ephrin_lbd)|246.3;PF07647 (SAM_2)|53.0;PF07699 (Ephrin_rec_like)|28.6;PF07714 (PK_Tyr_Ser-Thr)|340.7;PF14575 (EphA2_TM)|81.6;PF25599 (Ephrin_CRD)|84.6,CL0001 (EGF);CL0003 (SAM);CL0016 (PKinase);CL0159 (E-set);CL0202 (GBD),KW-0002 (3D-structure);KW-0025 (Alternative splicing);KW-0067 (ATP-binding);KW-0130 (Cell adhesion);KW-1003 (Cell membrane);KW-0903 (Direct protein sequencing);KW-0325 (Glycoprotein);KW-0418 (Kinase);KW-0472 (Membrane);KW-0547 (Nucleotide-binding);KW-0597 (Phosphoprotein);KW-1267 (Proteomics identification);KW-0675 (Receptor);KW-1185 (Reference proteome);KW-0677 (Repeat);KW-0964 (Secreted);KW-0732 (Signal);KW-0808 (Transferase);KW-0812 (Transmembrane);KW-1133 (Transmembrane helix);KW-0829 (Tyrosine-protein kinase),Hominidae,EPHA3,Ephrin type-A receptor 3,EPHA3_HUMAN
P29372,DNA glycosylase MPG family|IC,PF02245 (Pur_DNA_glyco)|212.0,,KW-0002 (3D-structure);KW-0025 (Alternative splicing);KW-0963 (Cytoplasm);KW-0227 (DNA damage);KW-0234 (DNA repair);KW-0378 (Hydrolase);KW-0496 (Mitochondrion);KW-1135 (Mitochondrion nucleoid);KW-0539 (Nucleus);KW-0597 (Phosphoprotein);KW-1267 (Proteomics identification);KW-1185 (Reference proteome);KW-0809 (Transit peptide),Hominidae,MPG,DNA-3-methyladenine glycosylase,3MG_HUMAN
P29459,IL-6 superfamily|IC,PF03039 (IL12)|403.9,CL0053 (4H_Cytokine),KW-0002 (3D-structure);KW-0202 (Cytokine);KW-0903 (Direct protein sequencing);KW-1015 (Disulfide bond);KW-0325 (Glycoprotein);KW-0339 (Growth factor);KW-0945 (Host-virus interaction);KW-1267 (Proteomics identification);KW-1185 (Reference proteome);KW-0964 (Secreted);KW-0732 (Signal),Hominidae,IL12A,Interleukin-12 subunit alpha,IL12A_HUMAN
P29597,protein kinase superfamily|SAM,PF07714 (PK_Tyr_Ser-Thr)|451.2;PF17887 (Jak1_Phl)|189.5;PF18377 (FERM_F2)|156.2;PF18379 (FERM_F1)|116.3;PF21990 (SH2_1)|114.1,CL0016 (PKinase);CL0266 (PH);CL0541 (SH2-like);CL0632 (FERM_M),KW-0002 (3D-structure);KW-0067 (ATP-binding);KW-0418 (Kinase);KW-0547 (Nucleotide-binding);KW-0597 (Phosphoprotein);KW-1267 (Proteomics identification);KW-1185 (Reference proteome);KW-0677 (Repeat);KW-0727 (SH2 domain);KW-0808 (Transferase);KW-0829 (Tyrosine-protein kinase),Hominidae,TYK2,Non-receptor tyrosine-protein kinase TYK2,TYK2_HUMAN
P29692,EF-1-beta/EF-1-delta family|IC,PF00736 (EF1_GNE)|125.1;PF10587 (EF-1_beta_acid)|45.5,,KW-0002 (3D-structure);KW-0007 (Acetylation);KW-0025 (Alternative splicing);KW-0903 (Direct protein sequencing);KW-0225 (Disease variant);KW-0238 (DNA-binding);KW-0251 (Elongation factor);KW-0991 (Intellectual disability);KW-0539 (Nucleus);KW-0597 (Phosphoprotein);KW-0648 (Protein biosynthesis);KW-1267 (Proteomics identification);KW-1185 (Reference proteome);KW-0804 (Transcription);KW-0805 (Transcription regulation),Hominidae,EEF1D,Elongation factor 1-delta,EF1D_HUMAN
P29972,MIP/aquaporin (TC 1|IC,PF00230 (MIP)|296.3,CL0716 (Aquaporin-like),KW-0002 (3D-structure);KW-0025 (Alternative splicing);KW-0095 (Blood group antigen);KW-1003 (Cell membrane);KW-0903 (Direct protein sequencing);KW-0325 (Glycoprotein);KW-0472 (Membrane);KW-0597 (Phosphoprotein);KW-1267 (Proteomics identification);KW-1185 (Reference proteome);KW-0677 (Repeat);KW-0812 (Transmembrane);KW-1133 (Transmembrane helix);KW-0813 (Transport),Hominidae,AQP1,Aquaporin-1,AQP1_HUMAN
